* Measurement data measured by REW V5.20.13
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS, at 44100 Hz
* Dated: 04/06/2024 15:31:06
* Sense Resistor: 26.3
* Lead resistance: 0.000
* Input resistance: 20000.000
* Calibration factor: 0.9925
* Note: 
* Measurement: Parlante Colgado + 19 gr masa
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
154.433441	8.501760	20.2125
154.769897	8.508272	20.2939
155.106354	8.514515	20.3695
155.442810	8.521123	20.4507
155.779266	8.527487	20.5251
156.115723	8.534090	20.6041
156.452179	8.540401	20.6791
156.788635	8.546920	20.7564
157.125092	8.553426	20.8324
157.461548	8.559795	20.9067
157.798004	8.566189	20.9845
158.134460	8.572826	21.0579
158.470917	8.578942	21.1345
158.807373	8.585817	21.2095
159.143829	8.591906	21.2831
159.480286	8.598568	21.3594
159.816742	8.605037	21.4332
160.153198	8.611759	21.5077
160.489655	8.618165	21.5799
160.826111	8.624810	21.6555
161.162567	8.631698	21.7258
161.499023	8.637938	21.7975
161.835480	8.644600	21.8705
162.171936	8.651252	21.9407
162.508392	8.657660	22.0121
162.844849	8.664343	22.0832
163.181305	8.670809	22.1527
163.517761	8.677325	22.2247
163.854218	8.684164	22.2944
164.190674	8.690711	22.3626
164.527130	8.697156	22.4339
164.863586	8.704138	22.5015
165.200043	8.710398	22.5713
165.536499	8.717428	22.6407
165.872955	8.724053	22.7088
166.209412	8.730940	22.7772
166.545868	8.737700	22.8438
166.882324	8.744332	22.9120
167.218781	8.751355	22.9791
167.555237	8.758005	23.0444
167.891693	8.764734	23.1116
168.228149	8.771395	23.1772
168.564606	8.778161	23.2459
168.901062	8.785375	23.3099
169.237518	8.791657	23.3747
169.573975	8.798640	23.4423
169.910431	8.805346	23.5059
170.246887	8.812229	23.5721
170.583344	8.818881	23.6369
170.919800	8.826204	23.7027
171.256256	8.832915	23.7638
171.592712	8.839845	23.8278
171.929169	8.846261	23.8904
172.265625	8.853438	23.9562
172.602081	8.860161	24.0154
172.938538	8.866871	24.0815
173.274994	8.873948	24.1412
173.611450	8.880541	24.2055
173.947906	8.887714	24.2654
174.284363	8.894168	24.3282
174.620819	8.901367	24.3892
174.957275	8.908039	24.4504
175.293732	8.914952	24.5095
175.630188	8.921587	24.5724
175.966644	8.928481	24.6315
176.303101	8.935491	24.6946
176.639557	8.942259	24.7519
176.976013	8.949326	24.8140
177.312469	8.955909	24.8722
177.648926	8.963240	24.9349
177.985382	8.970214	24.9893
178.321838	8.976742	25.0512
178.658295	8.984078	25.1078
178.994751	8.990402	25.1678
179.331207	8.997852	25.2282
179.667664	9.005006	25.2836
180.004120	9.011589	25.3419
180.340576	9.018999	25.3991
180.677032	9.025466	25.4555
181.013489	9.032674	25.5148
181.349945	9.039853	25.5708
181.686401	9.046691	25.6264
182.022858	9.053908	25.6836
182.359314	9.060565	25.7377
182.695770	9.067842	25.7958
183.032227	9.074415	25.8497
183.368683	9.081806	25.9086
183.705139	9.088855	25.9610
184.041595	9.095749	26.0172
184.378052	9.102823	26.0717
184.714508	9.109659	26.1271
185.050964	9.116783	26.1829
185.387421	9.124104	26.2380
185.723877	9.131181	26.2903
186.060333	9.138181	26.3439
186.396790	9.145039	26.3988
186.733246	9.152287	26.4517
187.069702	9.159004	26.5069
187.406158	9.166536	26.5622
187.742615	9.173987	26.6124
188.079071	9.180661	26.6641
188.415527	9.187666	26.7167
188.751984	9.194462	26.7716
189.088440	9.202142	26.8258
189.424896	9.209600	26.8743
189.761353	9.216366	26.9244
190.097809	9.223099	26.9752
190.434265	9.229975	27.0303
190.770721	9.237629	27.0817
191.107178	9.244636	27.1308
191.443634	9.251634	27.1813
191.780090	9.258471	27.2319
192.116547	9.265459	27.2843
192.453003	9.272767	27.3357
192.789459	9.279989	27.3859
193.125916	9.287134	27.4347
193.462372	9.294046	27.4852
193.798828	9.301050	27.5354
194.135284	9.308433	27.5876
194.471741	9.315747	27.6346
194.808197	9.322781	27.6841
195.144653	9.329842	27.7329
195.481110	9.337028	27.7829
195.817566	9.344373	27.8311
196.154022	9.351625	27.8782
196.490479	9.358252	27.9244
196.826935	9.365152	27.9765
197.163391	9.372735	28.0257
197.499847	9.379951	28.0718
197.836304	9.387273	28.1205
198.172760	9.394156	28.1650
198.509216	9.401665	28.2157
198.845673	9.408629	28.2577
199.182129	9.415590	28.3065
199.518585	9.422273	28.3528
199.855042	9.429669	28.4049
200.191498	9.437887	28.4476
200.527954	9.443976	28.4896
200.864410	9.451315	28.5406
201.200867	9.458305	28.5841
201.537323	9.465677	28.6332
201.873779	9.472828	28.6754
202.210236	9.479860	28.7234
202.546692	9.486965	28.7665
202.883148	9.494048	28.8152
203.219604	9.501341	28.8581
203.556061	9.508231	28.9051
203.892517	9.515758	28.9509
204.228973	9.522857	28.9947
204.565430	9.530321	29.0397
204.901886	9.536984	29.0814
205.238342	9.544183	29.1298
205.574799	9.551456	29.1729
205.911255	9.558659	29.2184
206.247711	9.566126	29.2606
206.584167	9.572661	29.3033
206.920624	9.580080	29.3504
207.257080	9.587376	29.3927
207.593536	9.594709	29.4344
207.929993	9.601434	29.4781
208.266449	9.608744	29.5213
208.602905	9.616105	29.5654
208.939362	9.623076	29.6043
209.275818	9.630207	29.6502
209.612274	9.637304	29.6890
209.948730	9.644413	29.7347
210.285187	9.651913	29.7735
210.621643	9.658578	29.8148
210.958099	9.665821	29.8580
211.294556	9.672816	29.8978
211.631012	9.680001	29.9419
211.967468	9.687177	29.9802
212.303925	9.694241	30.0238
212.640381	9.701385	30.0627
212.976837	9.708527	30.1054
213.313293	9.715734	30.1442
213.649750	9.722737	30.1848
213.986206	9.729740	30.2258
214.322662	9.736975	30.2654
214.659119	9.743655	30.3061
214.995575	9.751081	30.3479
215.332031	9.757964	30.3865
215.668488	9.765194	30.4284
216.004944	9.772267	30.4673
216.341400	9.779643	30.5074
216.677856	9.786433	30.5446
217.014313	9.793408	30.5853
217.350769	9.800344	30.6252
217.687225	9.807703	30.6641
218.023682	9.814244	30.7020
218.360138	9.821266	30.7446
218.696594	9.828887	30.7843
219.033051	9.836091	30.8200
219.369507	9.842967	30.8588
219.705963	9.850015	30.8955
220.042419	9.856853	30.9348
220.378876	9.863896	30.9718
220.715332	9.870811	31.0100
221.051788	9.877424	31.0477
221.388245	9.884441	31.0879
221.724701	9.891457	31.1271
222.061157	9.898599	31.1654
222.397614	9.906066	31.2044
222.734070	9.912732	31.2390
223.070526	9.919836	31.2800
223.406982	9.926940	31.3195
223.743439	9.934747	31.3525
224.079895	9.940849	31.3938
224.416351	9.948698	31.4262
224.752808	9.954970	31.4710
225.089264	9.962883	31.5008
225.425720	9.969550	31.5457
225.762177	9.976792	31.5723
226.098633	9.983425	31.6189
226.435089	9.990182	31.6484
226.771545	9.997923	31.6952
227.108002	10.004291	31.7223
227.444458	10.012003	31.7675
227.780914	10.018280	31.7980
228.117371	10.026179	31.8389
228.453827	10.032287	31.8716
228.790283	10.039942	31.9104
229.126740	10.046333	31.9438
229.463196	10.053395	31.9828
229.799652	10.060394	32.0166
230.136108	10.066907	32.0545
230.472565	10.074203	32.0904
230.809021	10.080851	32.1264
231.145477	10.087873	32.1619
231.481934	10.094501	32.2004
231.818390	10.102295	32.2348
232.154846	10.108464	32.2701
232.491302	10.116161	32.3069
232.827759	10.122857	32.3414
233.164215	10.130263	32.3750
233.500671	10.136972	32.4113
233.837128	10.144438	32.4405
234.173584	10.150004	32.4779
234.510040	10.157594	32.5124
234.846497	10.163954	32.5500
235.182953	10.171214	32.5827
235.519409	10.178168	32.6217
235.855865	10.185096	32.6516
236.192322	10.192153	32.6909
236.528778	10.198972	32.7218
236.865234	10.205853	32.7587
237.201691	10.212878	32.7940
237.538147	10.219771	32.8268
237.874603	10.226804	32.8645
238.211060	10.233706	32.8960
238.547516	10.240841	32.9334
