* Measurement data measured by REW V5.20.13
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS, at 44100 Hz
* Dated: 04/06/2024 15:30:21
* Sense Resistor: 26.3
* Lead resistance: 0.000
* Input resistance: 20000.000
* Calibration factor: 0.9925
* Note: 
* Measurement: Parlante Colgado
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
158.807373	8.455650	7.7993
159.143829	8.456664	7.9341
159.480286	8.455902	8.0698
159.816742	8.457054	8.2120
160.153198	8.457769	8.3440
160.489655	8.458554	8.4784
160.826111	8.458711	8.6132
161.162567	8.460758	8.7492
161.499023	8.460913	8.8731
161.835480	8.461898	9.0104
162.171936	8.462540	9.1404
162.508392	8.464343	9.2748
162.844849	8.465361	9.4039
163.181305	8.467751	9.5320
163.517761	8.468172	9.6548
163.854218	8.469559	9.7863
164.190674	8.470837	9.9174
164.527130	8.473877	10.0427
164.863586	8.474460	10.1617
165.200043	8.476121	10.2957
165.536499	8.478889	10.4181
165.872955	8.480307	10.5404
166.209412	8.482365	10.6657
166.545868	8.484891	10.7937
166.882324	8.487974	10.9046
167.218781	8.488559	11.0315
167.555237	8.492224	11.1501
167.891693	8.493562	11.2739
168.228149	8.497594	11.3875
168.564606	8.497649	11.5103
168.901062	8.503243	11.6340
169.237518	8.504404	11.7410
169.573975	8.508030	11.8599
169.910431	8.508880	11.9752
170.246887	8.513249	12.1038
170.583344	8.517175	12.2069
170.919800	8.518695	12.3224
171.256256	8.522480	12.4386
171.592712	8.525583	12.5546
171.929169	8.529379	12.6576
172.265625	8.530448	12.7750
172.602081	8.534989	12.8935
172.938538	8.537604	13.0073
173.274994	8.543670	13.1199
173.611450	8.545097	13.2199
173.947906	8.549824	13.3346
174.284363	8.551373	13.4485
174.620819	8.558227	13.5575
174.957275	8.559838	13.6579
175.293732	8.564179	13.7689
175.630188	8.567208	13.8728
175.966644	8.570457	13.9876
176.303101	8.575166	14.0895
176.639557	8.577958	14.2054
176.976013	8.584773	14.3013
177.312469	8.584476	14.3939
177.648926	8.589520	14.5316
177.985382	8.595378	14.6144
178.321838	8.599031	14.7225
178.658295	8.601212	14.8141
178.994751	8.605730	14.9311
179.331207	8.609772	15.0435
179.667664	8.618111	15.1225
180.004120	8.616890	15.2211
180.340576	8.622458	15.3335
180.677032	8.627797	15.4342
181.013489	8.630863	15.5287
181.349945	8.637074	15.6312
181.686401	8.639706	15.7258
182.022858	8.645891	15.8244
182.359314	8.648113	15.9177
182.695770	8.654469	16.0319
183.032227	8.659101	16.1041
183.368683	8.662689	16.2247
183.705139	8.668987	16.2963
184.041595	8.671494	16.4102
184.378052	8.677861	16.5012
184.714508	8.683138	16.5931
185.050964	8.686934	16.6903
185.387421	8.692585	16.7739
185.723877	8.696567	16.8888
186.060333	8.703547	16.9519
186.396790	8.704961	17.0715
186.733246	8.713812	17.1491
187.069702	8.716146	17.2467
187.406158	8.723169	17.3289
187.742615	8.724397	17.4327
188.079071	8.735094	17.5224
188.415527	8.735408	17.6068
188.751984	8.745222	17.6922
189.088440	8.744688	17.7889
189.424896	8.754953	17.8723
189.761353	8.756868	17.9651
190.097809	8.762458	18.0436
190.434265	8.768605	18.1514
190.770721	8.772855	18.2227
191.107178	8.781121	18.3157
191.443634	8.781771	18.3892
191.780090	8.790334	18.4939
192.116547	8.793601	18.5654
192.453003	8.800037	18.6699
192.789459	8.806926	18.7360
193.125916	8.810486	18.8319
193.462372	8.816879	18.8968
193.798828	8.820612	19.0129
194.135284	8.828614	19.0632
194.471741	8.832219	19.1794
194.808197	8.838627	19.2351
195.144653	8.846722	19.3427
195.481110	8.847837	19.3886
195.817566	8.858110	19.5079
196.154022	8.859073	19.5592
196.490479	8.869925	19.6580
196.826935	8.870196	19.7254
197.163391	8.879660	19.8104
197.499847	8.881899	19.8982
197.836304	8.890844	19.9760
198.172760	8.896259	20.0522
198.509216	8.901277	20.1263
198.845673	8.907173	20.2040
199.182129	8.912602	20.2883
199.518585	8.917818	20.3592
199.855042	8.925675	20.4462
200.191498	8.928375	20.5125
200.527954	8.938710	20.5949
200.864410	8.938144	20.6674
201.200867	8.951650	20.7504
201.537323	8.950017	20.8155
201.873779	8.962651	20.8972
202.210236	8.961491	20.9713
202.546692	8.974293	21.0506
202.883148	8.975472	21.1214
203.219604	8.984540	21.1886
203.556061	8.988495	21.2747
203.892517	8.993814	21.3319
204.228973	9.002783	21.4383
204.565430	9.006432	21.4670
204.901886	9.013919	21.5714
205.238342	9.015757	21.6292
205.574799	9.027633	21.7261
205.911255	9.030612	21.7762
206.247711	9.038552	21.8501
206.584167	9.042093	21.9285
206.920624	9.049644	21.9977
207.257080	9.056519	22.0777
207.593536	9.061712	22.1313
207.929993	9.068298	22.2203
208.266449	9.074189	22.2774
208.602905	9.081695	22.3622
208.939362	9.087412	22.4071
209.275818	9.092776	22.4931
209.612274	9.097462	22.5483
209.948730	9.105358	22.6441
210.285187	9.110493	22.6909
210.621643	9.119524	22.7772
210.958099	9.122175	22.8210
211.294556	9.131738	22.9110
211.631012	9.133462	22.9539
211.967468	9.142889	23.0557
212.303925	9.147129	23.0941
212.640381	9.155213	23.1932
212.976837	9.161170	23.2288
213.313293	9.167827	23.3258
213.649750	9.175909	23.3560
213.986206	9.178260	23.4394
214.322662	9.186485	23.5038
214.659119	9.191855	23.5782
214.995575	9.201029	23.6420
215.332031	9.206292	23.6948
215.668488	9.212960	23.7633
216.004944	9.218040	23.8206
216.341400	9.224971	23.8956
216.677856	9.231135	23.9508
217.014313	9.237368	24.0225
217.350769	9.244101	24.0838
217.687225	9.251274	24.1503
218.023682	9.258063	24.2032
218.360138	9.263412	24.2670
218.696594	9.269889	24.3274
219.033051	9.275352	24.3960
219.369507	9.283381	24.4600
219.705963	9.289359	24.5185
220.042419	9.297240	24.5821
220.378876	9.303097	24.6299
220.715332	9.308688	24.6954
221.051788	9.314334	24.7528
221.388245	9.319972	24.8294
221.724701	9.329663	24.8957
222.061157	9.337772	24.9395
222.397614	9.342508	24.9872
222.734070	9.347551	25.0504
223.070526	9.353122	25.1162
223.406982	9.360940	25.1847
223.743439	9.367916	25.2357
224.079895	9.373987	25.3005
224.416351	9.381843	25.3577
224.752808	9.388047	25.4118
225.089264	9.394843	25.4711
225.425720	9.401230	25.5222
225.762177	9.406301	25.5846
226.098633	9.413776	25.6486
226.435089	9.420595	25.7052
226.771545	9.428470	25.7612
227.108002	9.433921	25.8061
227.444458	9.438841	25.8725
227.780914	9.446606	25.9383
228.117371	9.454678	25.9892
228.453827	9.460731	26.0406
228.790283	9.466991	26.0925
229.126740	9.471873	26.1564
229.463196	9.481143	26.2187
229.799652	9.487649	26.2615
230.136108	9.493615	26.3183
230.472565	9.500554	26.3724
230.809021	9.505848	26.4260
231.145477	9.514067	26.4930
231.481934	9.521022	26.5296
231.818390	9.526155	26.5946
232.154846	9.534274	26.6456
232.491302	9.539911	26.7019
232.827759	9.548562	26.7592
233.164215	9.554704	26.7983
233.500671	9.560426	26.8636
233.837128	9.568967	26.9084
234.173584	9.572824	26.9614
234.510040	9.581562	27.0321
234.846497	9.589637	27.0676
235.182953	9.595242	27.1276
235.519409	9.603909	27.1689
235.855865	9.607571	27.2163
236.192322	9.614614	27.2845
236.528778	9.622707	27.3285
236.865234	9.628013	27.3855
237.201691	9.636862	27.4363
237.538147	9.641790	27.4804
237.874603	9.648886	27.5429
238.211060	9.656299	27.5893
238.547516	9.662852	27.6403
238.883972	9.669617	27.6904
239.220428	9.675467	27.7382
239.556885	9.681845	27.8038
239.893341	9.691548	27.8495
240.229797	9.696877	27.8912
240.566254	9.703874	27.9465
240.902710	9.710371	27.9926
241.239166	9.717421	28.0491
241.575623	9.725238	28.0912
241.912079	9.730622	28.1381
242.248535	9.737541	28.1920
242.584991	9.743754	28.2397
242.921448	9.751199	28.3001
243.257904	9.759800	28.3386
243.594360	9.765016	28.3878
243.930817	9.773844	28.4354
244.267273	9.778666	28.4719
244.603729	9.785171	28.5332
244.940186	9.792702	28.5736
245.276642	9.798166	28.6291
245.613098	9.807311	28.6751
245.949554	9.811936	28.7143
246.286011	9.818985	28.7784
246.622467	9.827880	28.8162
246.958923	9.832747	28.8659
247.295380	9.842399	28.9123
247.631836	9.846704	28.9473
247.968292	9.853821	29.0067
248.304749	9.861326	29.0474
248.641205	9.867070	29.0943
248.977661	9.875320	29.1486
249.314117	9.881699	29.1756
249.650574	9.886296	29.2473
249.987030	9.898759	29.2832
250.323486	9.901964	29.3157
250.659943	9.910655	29.3757
250.996399	9.917930	29.3928
251.332855	9.919168	29.4549
251.669312	9.931110	29.5105
252.005768	9.934860	29.5428
252.342224	9.944863	29.6115
252.678680	9.953328	29.6228
253.015137	9.955164	29.6760
253.351593	9.965692	29.7358
253.688049	9.971633	29.7555
254.024506	9.976771	29.8290
254.360962	9.989458	29.8525
254.697418	9.989615	29.8897
255.033875	10.000414	29.9603
255.370331	10.007243	29.9744
255.706787	10.011067	30.0462
256.043243	10.025649	30.0802
256.379700	10.025944	30.1011
256.716156	10.038057	30.1746
257.052612	10.041724	30.1624
257.389069	10.044255	30.2615
257.725525	10.058647	30.2840
258.061981	10.059484	30.3268
258.398438	10.071882	30.3841
258.734894	10.075116	30.3939
259.071350	10.081286	30.4880
259.407806	10.096703	30.4929
259.744263	10.094378	30.5341
260.080719	10.109534	30.5937
260.417175	10.110363	30.5920
260.753632	10.118262	30.6828
261.090088	10.126827	30.6764
261.426544	10.126264	30.7652
261.763000	10.144931	30.8042
262.099457	10.144642	30.8159
262.435913	10.156741	30.8925
262.772369	10.161757	30.8788
263.108826	10.164668	30.9728
263.445282	10.179879	30.9829
263.781738	10.178055	31.0254
264.118195	10.193081	31.0839
264.454651	10.194491	31.0786
264.791107	10.200651	31.1697
265.127563	10.211235	31.1731
265.464020	10.211579	31.2449
265.800476	10.228145	31.2852
266.136932	10.229846	31.2993
266.473389	10.240116	31.3604
266.809845	10.245701	31.3646
267.146301	10.248902	31.4311
267.482758	10.260858	31.4664
267.819214	10.263757	31.4946
268.155670	10.274013	31.5527
268.492126	10.279038	31.5567
268.828583	10.283000	31.6329
269.165039	10.294450	31.6575
269.501495	10.298563	31.7099
269.837952	10.311268	31.7387
270.174408	10.314359	31.7632
270.510864	10.322932	31.8057
270.847321	10.326614	31.8348
271.183777	10.335411	31.8941
271.520233	10.342768	31.9068
271.856689	10.346844	31.9659
272.193146	10.358316	31.9915
272.529602	10.359534	32.0264
272.866058	10.371072	32.0858
273.202515	10.375401	32.0944
273.538971	10.383168	32.1751
273.875427	10.395328	32.1705
274.211884	10.395627	32.2232
274.548340	10.408931	32.2526
274.884796	10.408236	32.2813
275.221252	10.420822	32.3523
275.557709	10.426780	32.3510
275.894165	10.433311	32.4244
276.230621	10.444628	32.4200
276.567078	10.443999	32.4783
276.903534	10.458734	32.5094
277.239990	10.457669	32.5372
277.576447	10.471093	32.6045
277.912903	10.476883	32.6036
278.249359	10.482770	32.6630
278.585815	10.492085	32.6764
278.922272	10.493373	32.7215
279.258728	10.504776	32.7735
279.595184	10.509908	32.7940
279.931641	10.519439	32.8503
280.268097	10.527439	32.8522
280.604553	10.530351	32.8991
280.941010	10.538190	32.9304
281.277466	10.542590	32.9816
281.613922	10.554052	33.0199
281.950378	10.559397	33.0421
282.286835	10.567257	33.0846
282.623291	10.573748	33.1061
282.959747	10.579142	33.1515
283.296204	10.588305	33.1822
283.632660	10.592476	33.2122
283.969116	10.601102	33.2624
284.305573	10.608687	33.2807
284.642029	10.615017	33.3236
284.978485	10.622227	33.3414
285.314941	10.626451	33.3935
285.651398	10.636924	33.4224
285.987854	10.642037	33.4571
286.324310	10.650904	33.4859
286.660767	10.655725	33.5215
286.997223	10.664738	33.5536
287.333679	10.669914	33.5870
287.670135	10.678714	33.6152
288.006592	10.681637	33.6522
288.343048	10.692617	33.6972
288.679504	10.697809	33.7212
289.015961	10.708941	33.7568
