	puk 60 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
8812.500000	-23.68	-173.32	1.00
8906.250000	-23.66	-173.32	1.00
9000.000000	-23.68	-173.52	1.00
9187.500000	-23.63	-173.79	1.00
9375.000000	-23.63	-173.99	1.00
9562.500000	-23.63	-174.19	1.00
9750.000000	-23.61	-174.40	1.00
9937.500000	-23.63	-174.56	1.00
10125.000000	-23.60	-174.72	1.00
10312.500000	-23.62	-174.88	1.00
10500.000000	-23.59	-175.08	1.00
10687.500000	-23.60	-175.13	1.00
10875.000000	-23.58	-175.45	1.00
11062.500000	-23.56	-175.73	1.00
11250.000000	-23.57	-175.76	1.00
11437.500000	-23.54	-175.90	1.00
11625.000000	-23.54	-176.08	1.00
11812.500000	-23.55	-176.23	1.00
12000.000000	-23.55	-176.42	1.00
12187.500000	-23.54	-176.58	1.00
12375.000000	-23.53	-176.62	1.00
12562.500000	-23.54	-176.90	1.00
12750.000000	-23.52	-176.95	1.00
12937.500000	-23.52	-177.03	1.00
13125.000000	-23.53	-177.21	1.00
13312.500000	-23.54	-177.35	1.00
13500.000000	-23.52	-177.48	1.00
13687.500000	-23.53	-177.63	1.00
13875.000000	-23.52	-177.73	1.00
14062.500000	-23.53	-177.84	1.00
14250.000000	-23.50	-177.98	1.00
14437.500000	-23.53	-178.19	1.00
14625.000000	-23.51	-178.27	1.00
14812.500000	-23.51	-178.29	1.00
15000.000000	-23.51	-178.43	1.00
15187.500000	-23.53	-178.57	1.00
15375.000000	-23.51	-178.71	1.00
15562.500000	-23.50	-178.74	1.00
15750.000000	-23.49	-178.87	1.00
15937.500000	-23.50	-179.07	1.00
16125.000000	-23.51	-179.16	1.00
16312.500000	-23.50	-179.18	1.00
16500.000000	-23.50	-179.45	1.00
16687.500000	-23.49	-179.46	1.00
16875.000000	-23.49	-179.55	1.00
17062.500000	-23.50	-179.66	1.00
17250.000000	-23.50	-179.70	1.00
17437.500000	-23.50	-179.81	1.00
17625.000000	-23.50	-179.88	1.00
17812.500000	-23.50	-179.92	1.00
18000.000000	-23.49	179.93	1.00
18187.500000	-23.49	179.87	1.00
18375.000000	-23.49	179.73	1.00
18562.500000	-23.50	179.67	1.00
18750.000000	-23.50	179.54	1.00
18937.500000	-23.50	179.49	1.00
19125.000000	-23.49	179.50	1.00
19312.500000	-23.49	179.29	1.00
19500.000000	-23.48	179.14	1.00
19687.500000	-23.50	179.08	1.00
19875.000000	-23.51	178.98	1.00
20062.500000	-23.50	178.98	1.00
20250.000000	-23.49	178.88	1.00
20437.500000	-23.49	178.81	1.00
20625.000000	-23.50	178.67	1.00
20812.500000	-23.49	178.66	1.00
21000.000000	-23.50	178.58	1.00
21187.500000	-23.50	178.53	1.00
21375.000000	-23.50	178.38	1.00
21562.500000	-23.51	178.28	1.00
21750.000000	-23.50	178.14	1.00
21937.500000	-23.49	178.16	1.00
22125.000000	-23.50	178.02	1.00
22312.500000	-23.50	177.96	1.00
22500.000000	-23.50	177.93	1.00
22687.500000	-23.50	177.85	1.00
22875.000000	-23.50	177.76	1.00
23062.500000	-23.49	177.66	1.00
23250.000000	-23.51	177.64	1.00
23437.500000	-23.51	177.68	1.00
23625.000000	-23.53	177.97	1.00
23812.500000	-23.59	178.51	1.00
