	boost 30 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
4593.750000	-23.94	-177.70	1.00
4687.500000	-23.93	-177.61	1.00
4781.250000	-23.93	-177.50	1.00
4875.000000	-23.91	-177.93	1.00
4968.750000	-23.90	-177.64	1.00
5062.500000	-23.91	-178.10	1.00
5156.250000	-23.86	-177.80	1.00
5250.000000	-23.88	-177.88	1.00
5343.750000	-23.83	-177.69	1.00
5437.500000	-23.82	-177.75	1.00
5531.250000	-23.84	-177.79	1.00
5625.000000	-23.81	-177.81	1.00
5718.750000	-23.74	-177.67	1.00
5812.500000	-23.78	-177.73	1.00
5906.250000	-23.80	-177.88	1.00
6000.000000	-23.77	-177.99	1.00
6093.750000	-23.76	-178.07	1.00
6187.500000	-23.78	-177.96	1.00
6281.250000	-23.69	-178.17	1.00
6375.000000	-23.74	-178.11	1.00
6468.750000	-23.70	-178.14	1.00
6562.500000	-23.69	-178.01	1.00
6656.250000	-23.70	-178.16	1.00
6750.000000	-23.70	-178.20	1.00
6843.750000	-23.66	-178.24	1.00
6937.500000	-23.68	-178.26	1.00
7031.250000	-23.65	-178.46	1.00
7125.000000	-23.65	-178.62	1.00
7218.750000	-23.63	-178.44	1.00
7312.500000	-23.65	-178.38	1.00
7406.250000	-23.63	-178.51	1.00
7500.000000	-23.63	-178.57	1.00
7593.750000	-23.62	-178.69	1.00
7687.500000	-23.62	-178.58	1.00
7781.250000	-23.60	-178.65	1.00
7875.000000	-23.62	-178.84	1.00
7968.750000	-23.58	-178.79	1.00
8062.500000	-23.59	-178.88	1.00
8156.250000	-23.61	-178.68	1.00
8250.000000	-23.59	-178.88	1.00
8343.750000	-23.57	-178.77	1.00
8437.500000	-23.55	-178.96	1.00
8531.250000	-23.58	-179.04	1.00
8625.000000	-23.55	-179.09	1.00
8718.750000	-23.53	-179.08	1.00
8812.500000	-23.54	-179.17	1.00
8906.250000	-23.55	-179.07	1.00
9000.000000	-23.53	-179.14	1.00
9187.500000	-23.53	-179.21	1.00
9375.000000	-23.53	-179.36	1.00
9562.500000	-23.50	-179.36	1.00
9750.000000	-23.50	-179.70	1.00
9937.500000	-23.50	-179.70	1.00
10125.000000	-23.49	-179.72	1.00
10312.500000	-23.49	-179.84	1.00
10500.000000	-23.47	-179.90	1.00
10687.500000	-23.46	-179.94	1.00
10875.000000	-23.47	179.95	1.00
11062.500000	-23.45	179.84	1.00
11250.000000	-23.46	179.83	1.00
11437.500000	-23.45	179.67	1.00
11625.000000	-23.43	179.55	1.00
11812.500000	-23.44	179.53	1.00
12000.000000	-23.44	179.42	1.00
12187.500000	-23.45	179.43	1.00
12375.000000	-23.43	179.35	1.00
12562.500000	-23.42	179.18	1.00
12750.000000	-23.41	179.07	1.00
12937.500000	-23.43	179.06	1.00
13125.000000	-23.42	178.96	1.00
13312.500000	-23.40	178.94	1.00
13500.000000	-23.41	178.82	1.00
13687.500000	-23.41	178.77	1.00
13875.000000	-23.41	178.68	1.00
14062.500000	-23.39	178.53	1.00
14250.000000	-23.40	178.59	1.00
14437.500000	-23.39	178.43	1.00
14625.000000	-23.39	178.34	1.00
14812.500000	-23.39	178.29	1.00
15000.000000	-23.39	178.16	1.00
15187.500000	-23.39	178.16	1.00
15375.000000	-23.38	177.97	1.00
15562.500000	-23.37	177.97	1.00
15750.000000	-23.39	177.98	1.00
15937.500000	-23.39	177.87	1.00
16125.000000	-23.38	177.82	1.00
16312.500000	-23.38	177.72	1.00
16500.000000	-23.38	177.67	1.00
16687.500000	-23.38	177.63	1.00
16875.000000	-23.38	177.54	1.00
17062.500000	-23.38	177.49	1.00
17250.000000	-23.37	177.39	1.00
17437.500000	-23.38	177.30	1.00
17625.000000	-23.38	177.27	1.00
17812.500000	-23.38	177.18	1.00
18000.000000	-23.39	177.01	1.00
18187.500000	-23.39	177.03	1.00
18375.000000	-23.38	176.96	1.00
18562.500000	-23.37	176.89	1.00
18750.000000	-23.37	176.86	1.00
18937.500000	-23.37	176.76	1.00
19125.000000	-23.37	176.67	1.00
19312.500000	-23.38	176.68	1.00
19500.000000	-23.38	176.62	1.00
19687.500000	-23.38	176.53	1.00
19875.000000	-23.37	176.46	1.00
20062.500000	-23.38	176.38	1.00
20250.000000	-23.38	176.33	1.00
20437.500000	-23.37	176.29	1.00
20625.000000	-23.38	176.16	1.00
20812.500000	-23.38	176.15	1.00
21000.000000	-23.38	176.08	1.00
21187.500000	-23.37	175.97	1.00
21375.000000	-23.36	175.96	1.00
21562.500000	-23.38	175.93	1.00
21750.000000	-23.37	175.85	1.00
21937.500000	-23.38	175.77	1.00
22125.000000	-23.37	175.70	1.00
22312.500000	-23.37	175.60	1.00
22500.000000	-23.38	175.57	1.00
22687.500000	-23.39	175.54	1.00
22875.000000	-23.39	175.45	1.00
23062.500000	-23.39	175.38	1.00
23250.000000	-23.39	175.35	1.00
23437.500000	-23.41	175.47	1.00
23625.000000	-23.46	176.12	1.00
23812.500000	-23.57	177.27	1.00
