	att 30 Hz		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
12187.500000	-23.25	-179.39	1.00
12375.000000	-23.27	-179.46	1.00
12562.500000	-23.25	-179.57	1.00
12750.000000	-23.25	-179.67	1.00
12937.500000	-23.26	-179.76	1.00
13125.000000	-23.26	-179.81	1.00
13312.500000	-23.25	-179.98	1.00
13500.000000	-23.27	179.94	1.00
13687.500000	-23.25	179.85	1.00
13875.000000	-23.25	179.65	1.00
14062.500000	-23.27	179.63	1.00
14250.000000	-23.27	179.58	1.00
14437.500000	-23.27	179.46	1.00
14625.000000	-23.27	179.33	1.00
14812.500000	-23.25	179.25	1.00
15000.000000	-23.26	179.16	1.00
15187.500000	-23.28	179.17	1.00
15375.000000	-23.26	179.03	1.00
15562.500000	-23.27	178.96	1.00
15750.000000	-23.27	178.85	1.00
15937.500000	-23.27	178.70	1.00
16125.000000	-23.25	178.63	1.00
16312.500000	-23.27	178.51	1.00
16500.000000	-23.27	178.46	1.00
16687.500000	-23.27	178.41	1.00
16875.000000	-23.28	178.33	1.00
17062.500000	-23.29	178.26	1.00
17250.000000	-23.27	178.17	1.00
17437.500000	-23.27	178.07	1.00
17625.000000	-23.28	178.07	1.00
17812.500000	-23.28	177.94	1.00
18000.000000	-23.29	177.93	1.00
18187.500000	-23.28	177.84	1.00
18375.000000	-23.28	177.75	1.00
18562.500000	-23.27	177.74	1.00
18750.000000	-23.29	177.64	1.00
18937.500000	-23.28	177.61	1.00
19125.000000	-23.28	177.49	1.00
19312.500000	-23.30	177.35	1.00
19500.000000	-23.30	177.36	1.00
19687.500000	-23.31	177.24	1.00
19875.000000	-23.29	177.15	1.00
20062.500000	-23.29	177.10	1.00
20250.000000	-23.29	176.98	1.00
20437.500000	-23.29	176.91	1.00
20625.000000	-23.29	176.90	1.00
20812.500000	-23.30	176.85	1.00
21000.000000	-23.30	176.77	1.00
21187.500000	-23.30	176.66	1.00
21375.000000	-23.30	176.60	1.00
21562.500000	-23.30	176.54	1.00
21750.000000	-23.30	176.47	1.00
21937.500000	-23.30	176.41	1.00
22125.000000	-23.30	176.37	1.00
22312.500000	-23.30	176.23	1.00
22500.000000	-23.31	176.21	1.00
22687.500000	-23.31	176.17	1.00
22875.000000	-23.30	176.09	1.00
23062.500000	-23.31	176.02	1.00
23250.000000	-23.32	176.03	1.00
23437.500000	-23.33	176.13	1.00
23625.000000	-23.37	176.58	1.00
23812.500000	-23.45	177.63	1.00
