	att 5k		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
7968.750000	-42.32	147.85	0.99
8062.500000	-42.36	147.85	0.99
8156.250000	-42.33	148.38	0.99
8250.000000	-42.35	148.63	0.99
8343.750000	-42.41	149.13	0.99
8437.500000	-42.61	149.29	0.99
8531.250000	-42.51	149.85	0.99
8625.000000	-42.53	149.70	0.99
8718.750000	-42.41	150.30	0.99
8812.500000	-42.55	150.51	0.99
8906.250000	-42.76	150.88	0.99
9000.000000	-42.59	151.06	0.99
9187.500000	-42.69	150.39	0.99
9375.000000	-42.85	152.16	0.99
9562.500000	-42.75	151.74	0.99
9750.000000	-42.74	152.44	0.99
9937.500000	-42.96	151.71	0.99
10125.000000	-42.88	153.36	0.99
10312.500000	-43.06	153.26	0.99
10500.000000	-42.88	153.76	0.99
10687.500000	-42.90	153.78	0.99
10875.000000	-43.16	154.31	0.99
11062.500000	-43.11	154.59	0.99
11250.000000	-43.19	154.86	0.99
11437.500000	-43.20	154.95	0.99
11625.000000	-43.13	155.00	0.99
11812.500000	-43.17	154.55	0.99
12000.000000	-43.33	155.89	0.99
12187.500000	-43.35	156.94	0.99
12375.000000	-43.39	157.37	0.99
12562.500000	-43.29	156.45	0.99
12750.000000	-43.48	157.16	0.99
12937.500000	-43.43	157.98	0.99
13125.000000	-43.44	157.19	0.99
13312.500000	-43.47	158.49	0.99
13500.000000	-43.41	158.03	0.99
13687.500000	-43.59	158.08	0.99
13875.000000	-43.56	158.76	0.99
14062.500000	-43.57	159.80	0.99
14250.000000	-43.68	159.81	0.99
14437.500000	-43.66	159.12	0.99
14625.000000	-43.70	159.61	0.99
14812.500000	-43.67	160.17	0.99
15000.000000	-43.70	160.68	0.99
15187.500000	-43.77	160.95	0.99
15375.000000	-43.72	160.83	0.99
15562.500000	-43.79	161.77	0.99
15750.000000	-43.87	161.18	0.99
15937.500000	-43.85	161.58	0.99
16125.000000	-43.85	161.88	0.99
16312.500000	-43.90	162.19	0.99
16500.000000	-43.81	162.64	0.99
16687.500000	-43.91	163.13	0.99
16875.000000	-43.87	162.46	0.99
17062.500000	-43.95	162.26	0.99
17250.000000	-43.97	162.96	0.99
17437.500000	-43.97	163.70	1.00
17625.000000	-44.03	163.47	0.99
17812.500000	-44.02	163.69	0.99
18000.000000	-43.91	163.49	0.99
18187.500000	-44.09	164.02	0.99
18375.000000	-44.15	164.19	0.99
18562.500000	-44.02	164.08	0.99
18750.000000	-44.07	164.47	1.00
18937.500000	-43.95	164.40	0.99
19125.000000	-43.97	164.38	0.99
19312.500000	-44.02	165.01	0.99
19500.000000	-44.13	165.39	0.99
19687.500000	-44.07	165.16	0.99
19875.000000	-44.08	165.18	0.99
20062.500000	-44.11	165.06	0.99
20250.000000	-44.10	165.50	1.00
20437.500000	-44.13	166.08	0.99
20625.000000	-44.14	166.09	0.99
20812.500000	-44.18	166.11	0.99
21000.000000	-44.18	166.01	0.99
21187.500000	-44.14	166.44	0.99
21375.000000	-44.12	167.31	0.99
21562.500000	-44.12	167.22	0.99
21750.000000	-44.10	167.31	0.99
21937.500000	-44.23	167.27	0.99
22125.000000	-44.24	167.46	0.99
22312.500000	-44.18	167.26	0.99
22500.000000	-44.21	167.27	0.99
22687.500000	-44.24	167.38	0.99
22875.000000	-44.31	167.51	0.99
23062.500000	-44.32	167.73	0.99
23250.000000	-44.27	168.10	0.99
23437.500000	-44.28	168.37	0.99
23625.000000	-44.36	170.08	0.99
23812.500000	-44.68	172.85	0.99
