	ECM8000_TF_0_30		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1461.914063	-1.30	0.63	1.00
1464.843750	-1.29	0.63	1.00
1467.773438	-1.27	0.62	1.00
1470.703125	-1.26	0.60	1.00
1473.632813	-1.25	0.56	1.00
1476.562500	-1.24	0.52	1.00
1479.492188	-1.24	0.46	1.00
1482.421875	-1.23	0.41	1.00
1485.351563	-1.23	0.34	1.00
1488.281250	-1.22	0.26	1.00
1491.210938	-1.22	0.19	0.99
1494.140625	-1.22	0.11	0.99
1497.070313	-1.23	0.04	1.00
1500.000000	-1.23	0.00	1.00
1502.929688	-1.23	-0.02	1.00
1505.859375	-1.24	-0.04	1.00
1508.789063	-1.24	-0.06	1.00
1511.718750	-1.24	-0.07	1.00
1514.648438	-1.25	-0.10	1.00
1517.578125	-1.26	-0.13	1.00
1520.507813	-1.27	-0.15	1.00
1523.437500	-1.27	-0.16	1.00
1526.367188	-1.28	-0.18	1.00
1529.296875	-1.28	-0.19	1.00
1532.226563	-1.29	-0.20	1.00
1535.156250	-1.29	-0.21	1.00
1538.085938	-1.30	-0.21	1.00
1541.015625	-1.30	-0.23	1.00
1543.945313	-1.31	-0.24	1.00
1546.875000	-1.32	-0.24	1.00
1549.804688	-1.33	-0.23	1.00
1552.734375	-1.34	-0.22	1.00
1555.664063	-1.35	-0.20	1.00
1558.593750	-1.37	-0.17	1.00
1561.523438	-1.38	-0.12	1.00
1564.453125	-1.39	-0.06	1.00
1567.382813	-1.41	0.02	1.00
1570.312500	-1.42	0.11	1.00
1573.242188	-1.42	0.22	1.00
1576.171875	-1.43	0.32	1.00
1579.101563	-1.43	0.41	1.00
1582.031250	-1.43	0.49	1.00
1584.960938	-1.43	0.57	1.00
1587.890625	-1.43	0.65	1.00
1590.820313	-1.43	0.73	1.00
1593.750000	-1.43	0.80	1.00
1596.679688	-1.42	0.87	1.00
1599.609375	-1.42	0.93	1.00
1602.539063	-1.41	0.99	1.00
1605.468750	-1.41	1.04	1.00
1608.398438	-1.40	1.08	1.00
1611.328125	-1.40	1.12	1.00
1614.257813	-1.39	1.15	1.00
1617.187500	-1.39	1.18	1.00
1620.117188	-1.38	1.22	1.00
1623.046875	-1.37	1.25	1.00
1625.976563	-1.37	1.28	1.00
1628.906250	-1.36	1.30	1.00
1631.835938	-1.36	1.31	1.00
1634.765625	-1.35	1.32	1.00
1637.695313	-1.34	1.32	1.00
1640.625000	-1.34	1.33	1.00
1643.554688	-1.33	1.33	1.00
1646.484375	-1.32	1.32	1.00
1649.414063	-1.31	1.31	1.00
1652.343750	-1.30	1.29	1.00
1655.273438	-1.30	1.28	1.00
1658.203125	-1.29	1.28	1.00
1661.132813	-1.28	1.26	1.00
1664.062500	-1.28	1.26	1.00
1666.992188	-1.27	1.25	1.00
1669.921875	-1.26	1.23	1.00
1672.851563	-1.26	1.22	1.00
1675.781250	-1.26	1.21	1.00
1678.710938	-1.26	1.22	1.00
1681.640625	-1.26	1.22	1.00
1684.570313	-1.26	1.20	1.00
1687.500000	-1.26	1.20	1.00
1690.429688	-1.26	1.18	1.00
1693.359375	-1.25	1.17	1.00
1696.289063	-1.25	1.15	1.00
1699.218750	-1.25	1.11	1.00
1702.148438	-1.24	1.08	1.00
1705.078125	-1.24	1.05	1.00
1708.007813	-1.23	1.01	1.00
1710.937500	-1.23	0.97	1.00
1713.867188	-1.23	0.93	1.00
1716.796875	-1.23	0.90	1.00
1719.726563	-1.23	0.88	1.00
1722.656250	-1.22	0.84	1.00
1725.585938	-1.22	0.80	1.00
1728.515625	-1.22	0.76	1.00
1731.445313	-1.22	0.73	1.00
1734.375000	-1.22	0.70	1.00
1737.304688	-1.22	0.67	1.00
1740.234375	-1.23	0.64	1.00
1743.164063	-1.23	0.62	1.00
1746.093750	-1.24	0.60	1.00
1749.023438	-1.24	0.60	1.00
1751.953125	-1.24	0.60	1.00
1754.882813	-1.25	0.60	1.00
1757.812500	-1.26	0.61	1.00
1760.742188	-1.26	0.62	1.00
1763.671875	-1.26	0.63	1.00
1766.601563	-1.26	0.63	1.00
1769.531250	-1.27	0.63	1.00
1772.460938	-1.27	0.62	1.00
1775.390625	-1.27	0.61	1.00
1778.320313	-1.27	0.60	1.00
1781.250000	-1.28	0.59	1.00
1784.179688	-1.28	0.57	1.00
1787.109375	-1.29	0.56	1.00
1790.039063	-1.29	0.55	1.00
1792.968750	-1.30	0.54	1.00
1795.898438	-1.31	0.55	1.00
1798.828125	-1.31	0.55	1.00
1801.757813	-1.32	0.56	1.00
1804.687500	-1.33	0.58	1.00
1807.617188	-1.34	0.59	1.00
1810.546875	-1.34	0.61	1.00
1813.476563	-1.35	0.65	1.00
1816.406250	-1.36	0.69	1.00
1819.335938	-1.37	0.74	1.00
1822.265625	-1.38	0.79	1.00
1825.195313	-1.39	0.87	1.00
1828.125000	-1.40	0.96	1.00
1831.054688	-1.40	1.06	1.00
1833.984375	-1.41	1.16	1.00
1836.914063	-1.41	1.26	1.00
1839.843750	-1.41	1.38	1.00
1842.773438	-1.41	1.49	1.00
1845.703125	-1.40	1.59	1.00
1848.632813	-1.39	1.69	1.00
1851.562500	-1.38	1.76	1.00
1854.492188	-1.37	1.82	1.00
1857.421875	-1.36	1.86	1.00
1860.351563	-1.35	1.89	1.00
1863.281250	-1.34	1.90	1.00
1866.210938	-1.32	1.89	1.00
1869.140625	-1.32	1.86	1.00
1872.070313	-1.31	1.83	1.00
1875.000000	-1.30	1.79	1.00
1877.929688	-1.29	1.75	1.00
1880.859375	-1.29	1.69	1.00
1883.789063	-1.29	1.64	1.00
1886.718750	-1.29	1.59	1.00
1889.648438	-1.29	1.55	1.00
1892.578125	-1.29	1.51	1.00
1895.507813	-1.29	1.48	1.00
1898.437500	-1.28	1.44	1.00
1901.367188	-1.28	1.41	1.00
1904.296875	-1.28	1.37	1.00
1907.226563	-1.28	1.32	1.00
1910.156250	-1.28	1.27	1.00
1913.085938	-1.28	1.23	1.00
1916.015625	-1.28	1.19	1.00
1918.945313	-1.28	1.16	1.00
1921.875000	-1.28	1.14	1.00
1924.804688	-1.28	1.12	1.00
1927.734375	-1.29	1.12	1.00
1930.664063	-1.29	1.12	1.00
1933.593750	-1.29	1.13	1.00
1936.523438	-1.29	1.14	1.00
1939.453125	-1.29	1.15	1.00
1942.382813	-1.30	1.15	1.00
1945.312500	-1.30	1.15	1.00
1948.242188	-1.30	1.16	1.00
1951.171875	-1.30	1.17	1.00
1954.101563	-1.30	1.19	1.00
1957.031250	-1.31	1.22	1.00
1959.960938	-1.31	1.24	1.00
1962.890625	-1.32	1.27	1.00
1965.820313	-1.32	1.31	1.00
1968.750000	-1.32	1.35	1.00
1971.679688	-1.33	1.39	1.00
1974.609375	-1.33	1.42	1.00
1977.539063	-1.33	1.45	1.00
1980.468750	-1.33	1.48	1.00
1983.398438	-1.33	1.51	1.00
1986.328125	-1.33	1.53	1.00
1989.257813	-1.33	1.54	1.00
1992.187500	-1.33	1.56	1.00
1995.117188	-1.33	1.57	1.00
1998.046875	-1.33	1.59	1.00
2000.976563	-1.33	1.60	1.00
2003.906250	-1.34	1.62	1.00
2006.835938	-1.34	1.63	1.00
2009.765625	-1.34	1.65	1.00
2012.695313	-1.34	1.68	1.00
2015.625000	-1.34	1.70	1.00
2018.554688	-1.34	1.73	1.00
2021.484375	-1.35	1.77	1.00
2024.414063	-1.35	1.81	1.00
2027.343750	-1.35	1.86	1.00
2030.273438	-1.35	1.91	1.00
2033.203125	-1.35	1.97	1.00
2036.132813	-1.35	2.04	1.00
2039.062500	-1.35	2.12	1.00
2041.992188	-1.35	2.18	1.00
2044.921875	-1.35	2.24	1.00
2047.851563	-1.34	2.28	1.00
2050.781250	-1.34	2.32	1.00
2053.710938	-1.33	2.35	1.00
2056.640625	-1.33	2.37	1.00
2059.570313	-1.32	2.39	0.99
2062.500000	-1.31	2.40	0.99
2065.429688	-1.31	2.41	1.00
2068.359375	-1.30	2.41	1.00
2071.289063	-1.30	2.41	1.00
2074.218750	-1.29	2.40	1.00
2077.148438	-1.29	2.40	1.00
2080.078125	-1.28	2.39	1.00
2083.007813	-1.28	2.38	1.00
2085.937500	-1.28	2.37	1.00
2088.867188	-1.27	2.36	1.00
2091.796875	-1.27	2.35	1.00
2094.726563	-1.27	2.34	1.00
2097.656250	-1.27	2.33	1.00
2100.585938	-1.27	2.33	1.00
2103.515625	-1.27	2.31	1.00
2106.445313	-1.27	2.30	1.00
2109.375000	-1.27	2.28	1.00
2112.304688	-1.27	2.26	1.00
2115.234375	-1.27	2.25	1.00
2118.164063	-1.27	2.25	1.00
2121.093750	-1.28	2.25	1.00
2124.023438	-1.28	2.25	1.00
2126.953125	-1.28	2.27	1.00
2129.882813	-1.28	2.28	1.00
2132.812500	-1.29	2.30	1.00
2135.742188	-1.29	2.31	1.00
2138.671875	-1.29	2.32	1.00
2141.601563	-1.29	2.33	1.00
2144.531250	-1.29	2.34	1.00
2147.460938	-1.28	2.34	1.00
2150.390625	-1.29	2.33	1.00
2153.320313	-1.29	2.33	1.00
2156.250000	-1.29	2.33	1.00
