	SM57_TF_0_150		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1432.617188	-12.65	-27.60	0.99
1435.546875	-12.74	-27.77	0.97
1438.476563	-12.83	-27.78	0.95
1441.406250	-12.91	-27.66	0.97
1444.335938	-12.96	-27.47	0.99
1447.265625	-12.99	-27.25	0.95
1450.195313	-13.00	-27.03	0.94
1453.125000	-12.98	-26.82	0.96
1456.054688	-12.96	-26.72	0.98
1458.984375	-12.92	-26.71	0.98
1461.914063	-12.88	-26.78	0.99
1464.843750	-12.85	-26.92	0.98
1467.773438	-12.83	-27.14	0.99
1470.703125	-12.81	-27.36	0.99
1473.632813	-12.80	-27.56	0.99
1476.562500	-12.81	-27.67	0.98
1479.492188	-12.81	-27.72	0.96
1482.421875	-12.81	-27.77	0.98
1485.351563	-12.81	-27.78	0.99
1488.281250	-12.79	-27.79	0.99
1491.210938	-12.76	-27.82	0.99
1494.140625	-12.73	-27.90	0.98
1497.070313	-12.69	-28.06	0.97
1500.000000	-12.65	-28.26	0.99
1502.929688	-12.61	-28.50	1.00
1505.859375	-12.57	-28.77	0.99
1508.789063	-12.53	-29.08	1.00
1511.718750	-12.50	-29.49	1.00
1514.648438	-12.48	-29.97	1.00
1517.578125	-12.47	-30.52	0.99
1520.507813	-12.47	-31.07	0.99
1523.437500	-12.49	-31.56	0.98
1526.367188	-12.51	-31.97	0.97
1529.296875	-12.53	-32.32	0.99
1532.226563	-12.55	-32.64	0.99
1535.156250	-12.57	-32.92	0.98
1538.085938	-12.58	-33.12	0.98
1541.015625	-12.58	-33.28	0.96
1543.945313	-12.57	-33.43	0.94
1546.875000	-12.55	-33.71	0.98
1549.804688	-12.54	-34.15	0.99
1552.734375	-12.54	-34.66	1.00
1555.664063	-12.55	-35.22	0.99
1558.593750	-12.58	-35.77	0.99
1561.523438	-12.62	-36.25	0.99
1564.453125	-12.68	-36.59	0.98
1567.382813	-12.75	-36.72	0.88
1570.312500	-12.83	-36.67	0.96
1573.242188	-12.90	-36.46	0.93
1576.171875	-12.97	-36.09	0.60
1579.101563	-13.01	-35.64	0.25
1582.031250	-12.99	-35.20	0.89
1584.960938	-12.96	-34.89	0.98
1587.890625	-12.92	-34.72	0.99
1590.820313	-12.88	-34.63	0.99
1593.750000	-12.83	-34.65	0.99
1596.679688	-12.79	-34.77	0.97
1599.609375	-12.74	-34.96	0.99
1602.539063	-12.70	-35.19	0.99
1605.468750	-12.67	-35.47	0.98
1608.398438	-12.64	-35.85	0.99
1611.328125	-12.62	-36.30	1.00
1614.257813	-12.61	-36.81	1.00
1617.187500	-12.61	-37.34	1.00
1620.117188	-12.62	-37.87	1.00
1623.046875	-12.64	-38.34	0.98
1625.976563	-12.66	-38.72	0.97
1628.906250	-12.70	-39.00	0.97
1631.835938	-12.73	-39.23	0.99
1634.765625	-12.76	-39.41	0.97
1637.695313	-12.78	-39.53	0.95
1640.625000	-12.81	-39.60	0.97
1643.554688	-12.83	-39.58	0.94
1646.484375	-12.84	-39.58	0.95
1649.414063	-12.84	-39.65	0.94
1652.343750	-12.84	-39.79	0.98
1655.273438	-12.85	-39.97	0.99
1658.203125	-12.87	-40.14	0.97
1661.132813	-12.90	-40.21	0.91
1664.062500	-12.93	-40.21	0.95
1666.992188	-12.95	-40.20	0.96
1669.921875	-12.98	-40.11	0.96
1672.851563	-13.01	-39.84	0.87
1675.781250	-13.06	-39.36	0.67
1678.710938	-13.07	-38.79	0.18
1681.640625	-13.05	-38.24	0.79
1684.570313	-13.00	-37.78	0.93
1687.500000	-12.95	-37.48	0.98
1690.429688	-12.89	-37.31	0.99
1693.359375	-12.84	-37.30	0.98
1696.289063	-12.79	-37.42	0.98
1699.218750	-12.75	-37.65	0.99
1702.148438	-12.72	-37.93	0.99
1705.078125	-12.69	-38.20	0.99
1708.007813	-12.68	-38.41	0.98
1710.937500	-12.66	-38.57	0.95
1713.867188	-12.65	-38.65	0.86
1716.796875	-12.62	-38.73	0.93
1719.726563	-12.59	-38.92	0.98
1722.656250	-12.55	-39.21	0.98
1725.585938	-12.51	-39.57	1.00
1728.515625	-12.48	-39.95	1.00
1731.445313	-12.45	-40.37	1.00
1734.375000	-12.43	-40.78	1.00
1737.304688	-12.41	-41.19	0.99
1740.234375	-12.39	-41.61	1.00
1743.164063	-12.37	-42.04	1.00
1746.093750	-12.35	-42.50	0.98
1749.023438	-12.35	-42.92	0.98
1751.953125	-12.35	-43.26	0.96
1754.882813	-12.35	-43.56	0.95
1757.812500	-12.34	-43.83	0.95
1760.742188	-12.31	-44.10	0.99
1763.671875	-12.29	-44.36	1.00
1766.601563	-12.26	-44.64	0.99
1769.531250	-12.23	-44.97	0.98
1772.460938	-12.20	-45.35	0.98
1775.390625	-12.17	-45.73	0.99
1778.320313	-12.15	-46.13	0.99
1781.250000	-12.14	-46.57	0.99
1784.179688	-12.13	-46.99	1.00
1787.109375	-12.13	-47.40	0.99
1790.039063	-12.13	-47.86	0.99
1792.968750	-12.14	-48.32	0.99
1795.898438	-12.16	-48.75	0.99
1798.828125	-12.18	-49.13	0.99
1801.757813	-12.21	-49.45	0.99
1804.687500	-12.24	-49.75	0.99
1807.617188	-12.27	-49.99	0.98
1810.546875	-12.30	-50.15	0.96
1813.476563	-12.33	-50.29	0.97
1816.406250	-12.34	-50.41	0.98
1819.335938	-12.34	-50.53	0.99
1822.265625	-12.34	-50.62	0.98
1825.195313	-12.34	-50.71	0.98
1828.125000	-12.32	-50.84	0.98
1831.054688	-12.31	-51.04	0.99
1833.984375	-12.31	-51.32	0.97
1836.914063	-12.31	-51.64	0.97
1839.843750	-12.32	-51.88	0.98
1842.773438	-12.33	-52.05	0.99
1845.703125	-12.35	-52.16	0.98
1848.632813	-12.36	-52.25	0.97
1851.562500	-12.36	-52.32	0.99
1854.492188	-12.35	-52.39	0.98
1857.421875	-12.34	-52.42	0.98
1860.351563	-12.33	-52.40	0.98
1863.281250	-12.31	-52.36	0.98
1866.210938	-12.28	-52.35	0.97
1869.140625	-12.26	-52.38	0.88
1872.070313	-12.24	-52.46	0.81
1875.000000	-12.24	-52.41	0.33
1877.929688	-12.24	-52.32	0.66
1880.859375	-12.21	-52.27	0.95
1883.789063	-12.16	-52.30	0.93
1886.718750	-12.11	-52.46	0.98
1889.648438	-12.07	-52.68	0.97
1892.578125	-12.03	-52.95	0.97
1895.507813	-11.99	-53.26	0.97
1898.437500	-11.95	-53.62	0.99
1901.367188	-11.92	-54.04	0.99
1904.296875	-11.91	-54.48	0.99
1907.226563	-11.90	-54.92	0.94
1910.156250	-11.90	-55.37	0.82
1913.085938	-11.91	-55.72	0.71
1916.015625	-11.91	-55.99	0.93
1918.945313	-11.92	-56.30	0.98
1921.875000	-11.92	-56.62	0.97
1924.804688	-11.93	-56.94	0.96
1927.734375	-11.94	-57.28	0.98
1930.664063	-11.95	-57.63	0.98
1933.593750	-11.96	-57.95	0.98
1936.523438	-11.96	-58.29	0.98
1939.453125	-11.97	-58.68	0.99
1942.382813	-11.98	-59.09	0.97
1945.312500	-12.00	-59.49	0.98
1948.242188	-12.03	-59.82	0.99
1951.171875	-12.06	-60.10	0.99
1954.101563	-12.09	-60.32	0.95
1957.031250	-12.11	-60.50	0.90
1959.960938	-12.13	-60.66	0.91
1962.890625	-12.13	-60.81	0.98
1965.820313	-12.14	-61.02	0.98
1968.750000	-12.14	-61.26	0.99
1971.679688	-12.14	-61.51	0.99
1974.609375	-12.13	-61.80	0.99
1977.539063	-12.13	-62.14	0.97
1980.468750	-12.12	-62.51	0.99
1983.398438	-12.12	-62.95	0.99
1986.328125	-12.12	-63.47	0.99
1989.257813	-12.13	-64.02	0.98
1992.187500	-12.15	-64.53	0.99
1995.117188	-12.18	-64.95	0.98
1998.046875	-12.21	-65.31	0.97
2000.976563	-12.25	-65.53	0.67
2003.906250	-12.29	-65.73	0.92
2006.835938	-12.31	-65.99	0.95
2009.765625	-12.34	-66.25	0.69
2012.695313	-12.36	-66.54	0.85
2015.625000	-12.37	-66.87	0.98
