	ECM8000_TF_0_0		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1895.507813	-1.15	-0.08	1.00
1898.437500	-1.14	-0.17	1.00
1901.367188	-1.14	-0.28	1.00
1904.296875	-1.14	-0.39	1.00
1907.226563	-1.14	-0.50	1.00
1910.156250	-1.14	-0.62	1.00
1913.085938	-1.15	-0.72	1.00
1916.015625	-1.15	-0.82	1.00
1918.945313	-1.17	-0.90	1.00
1921.875000	-1.18	-0.96	1.00
1924.804688	-1.19	-1.00	1.00
1927.734375	-1.20	-1.03	1.00
1930.664063	-1.21	-1.05	1.00
1933.593750	-1.22	-1.06	1.00
1936.523438	-1.23	-1.06	1.00
1939.453125	-1.24	-1.06	1.00
1942.382813	-1.25	-1.06	1.00
1945.312500	-1.26	-1.04	1.00
1948.242188	-1.27	-1.03	1.00
1951.171875	-1.28	-1.01	1.00
1954.101563	-1.29	-0.99	1.00
1957.031250	-1.30	-0.96	1.00
1959.960938	-1.31	-0.93	1.00
1962.890625	-1.31	-0.89	1.00
1965.820313	-1.32	-0.85	1.00
1968.750000	-1.33	-0.81	1.00
1971.679688	-1.33	-0.78	1.00
1974.609375	-1.33	-0.75	1.00
1977.539063	-1.34	-0.72	1.00
1980.468750	-1.34	-0.68	1.00
1983.398438	-1.35	-0.65	1.00
1986.328125	-1.35	-0.62	1.00
1989.257813	-1.35	-0.58	1.00
1992.187500	-1.35	-0.55	1.00
1995.117188	-1.36	-0.52	1.00
1998.046875	-1.36	-0.49	1.00
2000.976563	-1.36	-0.45	1.00
2003.906250	-1.36	-0.42	1.00
2006.835938	-1.36	-0.39	1.00
2009.765625	-1.37	-0.35	1.00
2012.695313	-1.37	-0.32	1.00
2015.625000	-1.37	-0.28	1.00
2018.554688	-1.38	-0.25	1.00
2021.484375	-1.38	-0.20	1.00
2024.414063	-1.38	-0.14	1.00
2027.343750	-1.39	-0.08	1.00
2030.273438	-1.39	-0.02	1.00
2033.203125	-1.39	0.05	1.00
2036.132813	-1.39	0.12	1.00
2039.062500	-1.38	0.19	1.00
2041.992188	-1.38	0.25	1.00
2044.921875	-1.37	0.30	1.00
2047.851563	-1.36	0.35	1.00
2050.781250	-1.36	0.39	1.00
2053.710938	-1.35	0.43	1.00
2056.640625	-1.34	0.46	1.00
2059.570313	-1.33	0.49	1.00
2062.500000	-1.32	0.51	1.00
2065.429688	-1.32	0.53	1.00
2068.359375	-1.31	0.53	1.00
2071.289063	-1.30	0.53	1.00
2074.218750	-1.29	0.53	1.00
2077.148438	-1.29	0.54	1.00
2080.078125	-1.28	0.53	1.00
2083.007813	-1.28	0.53	1.00
2085.937500	-1.27	0.52	1.00
2088.867188	-1.27	0.51	1.00
2091.796875	-1.26	0.49	1.00
2094.726563	-1.26	0.48	1.00
2097.656250	-1.26	0.47	1.00
2100.585938	-1.25	0.45	1.00
2103.515625	-1.25	0.44	1.00
2106.445313	-1.25	0.43	1.00
