	SM57_TF_0_180		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1394.531250	-13.36	-29.79	0.97
1397.460938	-13.32	-29.94	0.96
1400.390625	-13.27	-30.09	0.96
1403.320313	-13.21	-30.27	0.97
1406.250000	-13.16	-30.64	0.98
1409.179688	-13.11	-31.11	0.99
1412.109375	-13.08	-31.66	0.99
1415.039063	-13.06	-32.25	0.98
1417.968750	-13.04	-32.86	0.99
1420.898438	-13.04	-33.54	1.00
1423.828125	-13.04	-34.28	0.99
1426.757813	-13.07	-35.09	0.97
1429.687500	-13.12	-35.79	0.98
1432.617188	-13.17	-36.35	0.98
1435.546875	-13.24	-36.78	0.98
1438.476563	-13.30	-37.06	0.96
1441.406250	-13.36	-37.23	0.96
1444.335938	-13.40	-37.36	0.97
1447.265625	-13.43	-37.51	0.97
1450.195313	-13.45	-37.57	0.88
1453.125000	-13.45	-37.58	0.91
1456.054688	-13.44	-37.59	0.96
1458.984375	-13.43	-37.70	0.98
1461.914063	-13.41	-37.87	0.98
1464.843750	-13.39	-38.09	0.98
1467.773438	-13.36	-38.44	0.99
1470.703125	-13.35	-38.84	0.98
1473.632813	-13.36	-39.21	0.99
1476.562500	-13.37	-39.52	0.97
1479.492188	-13.40	-39.66	0.96
1482.421875	-13.41	-39.69	0.97
1485.351563	-13.40	-39.67	0.96
1488.281250	-13.38	-39.57	0.98
1491.210938	-13.37	-39.41	0.93
1494.140625	-13.35	-39.15	0.61
1497.070313	-13.31	-38.90	0.94
1500.000000	-13.27	-38.79	0.95
1502.929688	-13.22	-38.77	0.95
1505.859375	-13.15	-38.82	0.98
1508.789063	-13.08	-39.01	0.99
1511.718750	-13.00	-39.30	0.99
1514.648438	-12.93	-39.68	0.99
1517.578125	-12.87	-40.23	0.99
1520.507813	-12.82	-40.76	0.98
1523.437500	-12.79	-41.26	0.98
1526.367188	-12.77	-41.72	0.99
1529.296875	-12.74	-42.12	0.97
1532.226563	-12.70	-42.48	0.99
1535.156250	-12.68	-42.86	0.98
1538.085938	-12.65	-43.14	0.96
1541.015625	-12.63	-43.31	0.77
1543.945313	-12.61	-43.34	0.81
1546.875000	-12.58	-43.53	0.96
1549.804688	-12.54	-43.89	0.97
1552.734375	-12.50	-44.42	0.99
1555.664063	-12.48	-45.03	1.00
1558.593750	-12.47	-45.66	0.99
1561.523438	-12.48	-46.31	1.00
1564.453125	-12.50	-46.87	0.97
1567.382813	-12.54	-47.28	0.98
1570.312500	-12.58	-47.50	0.96
1573.242188	-12.62	-47.49	0.94
1576.171875	-12.67	-47.21	0.93
1579.101563	-12.69	-46.75	0.26
1582.031250	-12.70	-46.29	0.90
1584.960938	-12.71	-46.04	0.94
1587.890625	-12.70	-45.87	0.92
1590.820313	-12.68	-45.73	0.94
1593.750000	-12.66	-45.64	0.97
1596.679688	-12.63	-45.67	0.95
1599.609375	-12.60	-45.81	0.97
1602.539063	-12.57	-46.08	0.99
1605.468750	-12.54	-46.46	0.99
1608.398438	-12.52	-46.91	0.98
1611.328125	-12.50	-47.43	0.99
1614.257813	-12.49	-47.97	1.00
1617.187500	-12.48	-48.55	0.99
1620.117188	-12.48	-49.19	0.98
1623.046875	-12.48	-49.82	0.99
1625.976563	-12.49	-50.41	0.99
1628.906250	-12.51	-50.94	0.99
1631.835938	-12.52	-51.43	0.98
