	SM57_PROX_20_BASS_REFLEX_SIN_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2039.062500	-6.95	-17.86	0.96
2041.992188	-6.97	-18.09	0.94
2044.921875	-6.98	-18.37	0.93
2047.851563	-7.01	-18.70	0.94
2050.781250	-7.03	-19.08	0.95
2053.710938	-7.07	-19.49	0.97
2056.640625	-7.11	-19.94	0.97
2059.570313	-7.15	-20.43	0.95
2062.500000	-7.20	-20.94	0.93
2065.429688	-7.25	-21.47	0.92
2068.359375	-7.30	-21.98	0.90
2071.289063	-7.35	-22.49	0.88
2074.218750	-7.40	-23.01	0.91
2077.148438	-7.45	-23.48	0.84
2080.078125	-7.50	-23.95	0.77
2083.007813	-7.53	-24.41	0.73
2085.937500	-7.55	-24.85	0.83
2088.867188	-7.56	-25.30	0.93
2091.796875	-7.56	-25.74	0.96
2094.726563	-7.56	-26.15	0.90
2097.656250	-7.56	-26.54	0.92
2100.585938	-7.57	-26.84	0.76
2103.515625	-7.58	-27.11	0.76
2106.445313	-7.59	-27.36	0.87
2109.375000	-7.59	-27.60	0.88
