	SM57_PROX_100MM		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1444.335938	-8.16	-0.26	0.55
1447.265625	-8.17	-0.38	0.43
1450.195313	-8.17	-0.50	0.56
1453.125000	-8.18	-0.66	0.81
1456.054688	-8.18	-0.88	0.85
1458.984375	-8.18	-1.15	0.83
1461.914063	-8.18	-1.47	0.84
1464.843750	-8.18	-1.81	0.90
1467.773438	-8.18	-2.13	0.93
1470.703125	-8.17	-2.44	0.90
1473.632813	-8.17	-2.69	0.89
1476.562500	-8.17	-2.89	0.83
1479.492188	-8.16	-3.06	0.80
1482.421875	-8.16	-3.21	0.90
1485.351563	-8.16	-3.40	0.92
1488.281250	-8.16	-3.61	0.87
1491.210938	-8.16	-3.80	0.72
1494.140625	-8.15	-3.88	0.78
1497.070313	-8.15	-4.02	0.84
1500.000000	-8.15	-4.16	0.85
1502.929688	-8.14	-4.29	0.84
1505.859375	-8.13	-4.45	0.86
1508.789063	-8.12	-4.57	0.92
1511.718750	-8.10	-4.66	0.95
1514.648438	-8.08	-4.71	0.93
1517.578125	-8.06	-4.73	0.92
1520.507813	-8.03	-4.71	0.92
1523.437500	-8.01	-4.66	0.89
1526.367188	-7.98	-4.58	0.86
1529.296875	-7.94	-4.53	0.92
1532.226563	-7.91	-4.47	0.93
1535.156250	-7.88	-4.39	0.93
1538.085938	-7.85	-4.30	0.89
1541.015625	-7.82	-4.24	0.87
1543.945313	-7.78	-4.23	0.94
1546.875000	-7.75	-4.21	0.95
1549.804688	-7.72	-4.18	0.98
1552.734375	-7.69	-4.13	0.99
1555.664063	-7.66	-4.13	0.94
1558.593750	-7.62	-4.13	0.97
1561.523438	-7.59	-4.17	0.96
1564.453125	-7.57	-4.26	0.85
1567.382813	-7.54	-4.30	0.86
1570.312500	-7.51	-4.28	0.88
1573.242188	-7.47	-4.29	0.95
1576.171875	-7.44	-4.37	0.87
1579.101563	-7.41	-4.48	0.72
1582.031250	-7.38	-4.56	0.56
1584.960938	-7.34	-4.64	0.79
1587.890625	-7.30	-4.78	0.91
1590.820313	-7.27	-4.91	0.94
1593.750000	-7.24	-5.06	0.95
1596.679688	-7.20	-5.20	0.96
1599.609375	-7.18	-5.33	0.96
1602.539063	-7.15	-5.47	0.89
1605.468750	-7.13	-5.61	0.86
1608.398438	-7.10	-5.70	0.98
1611.328125	-7.08	-5.80	0.99
1614.257813	-7.07	-5.90	0.99
1617.187500	-7.05	-6.02	0.97
1620.117188	-7.04	-6.16	0.95
1623.046875	-7.03	-6.30	0.93
1625.976563	-7.03	-6.39	0.94
1628.906250	-7.02	-6.50	0.97
1631.835938	-7.02	-6.62	0.96
1634.765625	-7.02	-6.76	0.94
1637.695313	-7.03	-6.87	0.92
1640.625000	-7.03	-6.97	0.90
1643.554688	-7.04	-7.06	0.96
1646.484375	-7.05	-7.17	0.85
1649.414063	-7.06	-7.30	0.93
1652.343750	-7.07	-7.51	0.87
1655.273438	-7.08	-7.78	0.86
1658.203125	-7.09	-8.08	0.72
1661.132813	-7.10	-8.41	0.79
1664.062500	-7.11	-8.77	0.90
1666.992188	-7.12	-9.22	0.61
1669.921875	-7.13	-9.68	0.93
1672.851563	-7.13	-10.20	0.80
1675.781250	-7.14	-10.73	0.79
1678.710938	-7.14	-11.26	0.72
1681.640625	-7.14	-11.75	0.71
1684.570313	-7.14	-12.20	0.65
1687.500000	-7.15	-12.59	0.62
1690.429688	-7.15	-12.92	0.93
1693.359375	-7.14	-13.28	0.94
1696.289063	-7.14	-13.66	0.93
1699.218750	-7.14	-14.07	0.88
1702.148438	-7.14	-14.50	0.83
1705.078125	-7.14	-14.90	0.92
1708.007813	-7.14	-15.24	0.94
1710.937500	-7.14	-15.59	0.90
1713.867188	-7.14	-15.93	0.94
1716.796875	-7.14	-16.24	0.95
1719.726563	-7.14	-16.52	0.95
1722.656250	-7.15	-16.73	0.94
1725.585938	-7.15	-16.93	0.91
1728.515625	-7.16	-17.09	0.90
1731.445313	-7.17	-17.16	0.92
1734.375000	-7.18	-17.18	0.88
1737.304688	-7.18	-17.14	0.89
1740.234375	-7.19	-17.05	0.84
1743.164063	-7.20	-16.96	0.91
1746.093750	-7.21	-16.85	0.86
1749.023438	-7.22	-16.73	0.84
1751.953125	-7.22	-16.59	0.81
1754.882813	-7.23	-16.37	0.80
1757.812500	-7.24	-16.11	0.87
1760.742188	-7.25	-15.84	0.93
1763.671875	-7.25	-15.54	0.90
1766.601563	-7.26	-15.22	0.90
1769.531250	-7.27	-14.88	0.64
1772.460938	-7.28	-14.55	0.74
1775.390625	-7.28	-14.29	0.77
1778.320313	-7.29	-14.05	0.72
1781.250000	-7.30	-13.79	0.39
1784.179688	-7.31	-13.53	0.37
1787.109375	-7.31	-13.26	0.44
1790.039063	-7.32	-12.99	0.52
