	SM57_PROX_20_BASS_REFLEX_CON_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1195.312500	-7.81	-10.26	0.89
1198.242188	-7.79	-11.04	0.89
1201.171875	-7.76	-11.91	0.91
1204.101563	-7.74	-12.93	0.89
1207.031250	-7.73	-13.98	0.86
1209.960938	-7.72	-14.93	0.90
1212.890625	-7.70	-15.72	0.93
1215.820313	-7.71	-16.18	0.83
1218.750000	-7.72	-16.35	0.71
1221.679688	-7.74	-16.37	0.76
1224.609375	-7.75	-16.24	0.74
1227.539063	-7.75	-15.99	0.82
1230.468750	-7.76	-15.90	0.80
1233.398438	-7.78	-16.11	0.92
1236.328125	-7.78	-16.44	0.86
1239.257813	-7.79	-16.77	0.86
1242.187500	-7.80	-17.14	0.87
1245.117188	-7.81	-17.63	0.83
1248.046875	-7.82	-18.16	0.91
1250.976563	-7.82	-18.68	0.82
1253.906250	-7.80	-19.05	0.64
1256.835938	-7.76	-19.38	0.38
1259.765625	-7.71	-19.70	0.79
1262.695313	-7.67	-19.86	0.74
1265.625000	-7.64	-19.89	0.56
1268.554688	-7.62	-19.86	0.54
1271.484375	-7.61	-19.88	0.61
1274.414063	-7.63	-20.08	0.65
1277.343750	-7.64	-20.38	0.73
1280.273438	-7.66	-20.74	0.92
1283.203125	-7.69	-20.95	0.92
1286.132813	-7.73	-20.99	0.86
1289.062500	-7.79	-20.83	0.77
1291.992188	-7.85	-20.52	0.84
1294.921875	-7.90	-20.15	0.85
1297.851563	-7.94	-19.70	0.74
1300.781250	-8.00	-19.33	0.86
1303.710938	-8.08	-19.03	0.57
1306.640625	-8.17	-18.84	0.74
1309.570313	-8.25	-18.61	0.73
1312.500000	-8.30	-18.31	0.90
1315.429688	-8.33	-18.09	0.39
1318.359375	-8.35	-17.97	0.21
1321.289063	-8.36	-17.78	0.27
1324.218750	-8.37	-17.53	0.08
1327.148438	-8.38	-17.36	0.32
1330.078125	-8.39	-17.17	0.37
1333.007813	-8.42	-16.78	0.41
1335.937500	-8.44	-16.46	0.64
1338.867188	-8.44	-16.09	0.52
1341.796875	-8.43	-15.78	0.81
1344.726563	-8.40	-15.52	0.85
1347.656250	-8.36	-15.26	0.86
1350.585938	-8.33	-14.98	0.87
1353.515625	-8.32	-14.66	0.88
1356.445313	-8.33	-14.36	0.76
1359.375000	-8.34	-13.96	0.84
1362.304688	-8.36	-13.58	0.85
1365.234375	-8.37	-13.21	0.71
1368.164063	-8.36	-12.83	0.48
1371.093750	-8.35	-12.34	0.35
1374.023438	-8.33	-11.82	0.54
1376.953125	-8.31	-11.31	0.80
1379.882813	-8.31	-10.79	0.94
1382.812500	-8.30	-10.26	0.84
1385.742188	-8.29	-9.79	0.91
1388.671875	-8.28	-9.34	0.85
1391.601563	-8.28	-8.88	0.90
1394.531250	-8.28	-8.49	0.88
1397.460938	-8.29	-8.13	0.85
1400.390625	-8.30	-7.73	0.82
1403.320313	-8.29	-7.33	0.59
1406.250000	-8.29	-6.94	0.69
1409.179688	-8.30	-6.58	0.92
1412.109375	-8.31	-6.34	0.91
1415.039063	-8.33	-6.12	0.93
