	SM57_PROX_20		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
914.062500	-5.26	-1.45	0.98
916.992188	-5.18	-1.93	0.99
919.921875	-5.11	-2.40	1.00
922.851563	-5.04	-2.84	0.99
925.781250	-4.97	-3.22	0.99
928.710938	-4.92	-3.52	0.99
931.640625	-4.88	-3.76	0.99
934.570313	-4.84	-3.94	1.00
937.500000	-4.79	-4.12	0.99
940.429688	-4.73	-4.32	0.99
943.359375	-4.69	-4.56	0.99
946.289063	-4.65	-4.84	0.99
949.218750	-4.61	-5.19	0.98
952.148438	-4.57	-5.62	0.98
955.078125	-4.53	-5.98	0.98
958.007813	-4.50	-6.27	0.99
960.937500	-4.46	-6.57	0.99
963.867188	-4.43	-6.89	0.99
966.796875	-4.39	-7.23	1.00
969.726563	-4.36	-7.61	1.00
972.656250	-4.34	-8.00	1.00
975.585938	-4.32	-8.43	1.00
978.515625	-4.30	-8.89	0.99
981.445313	-4.28	-9.38	0.99
984.375000	-4.25	-9.91	0.98
987.304688	-4.22	-10.53	0.96
990.234375	-4.17	-11.20	0.98
993.164063	-4.11	-11.91	0.99
996.093750	-4.06	-12.63	1.00
999.023438	-4.00	-13.37	1.00
1001.953125	-3.95	-14.11	1.00
1004.882813	-3.91	-14.85	1.00
1007.812500	-3.87	-15.63	1.00
1010.742188	-3.84	-16.45	0.96
1013.671875	-3.83	-17.39	0.92
1016.601563	-3.82	-18.38	0.90
1019.531250	-3.83	-19.22	0.92
1022.460938	-3.83	-20.06	0.99
1025.390625	-3.82	-20.83	0.99
1028.320313	-3.81	-21.49	1.00
1031.250000	-3.80	-22.13	1.00
1034.179688	-3.80	-22.80	1.00
1037.109375	-3.80	-23.45	0.99
1040.039063	-3.82	-24.08	0.99
1042.968750	-3.85	-24.70	0.99
1045.898438	-3.89	-25.30	0.99
1048.828125	-3.93	-25.89	0.98
1051.757813	-3.99	-26.47	0.97
1054.687500	-4.05	-26.98	0.95
1057.617188	-4.10	-27.39	0.98
1060.546875	-4.15	-27.73	0.99
1063.476563	-4.21	-27.97	0.96
1066.406250	-4.26	-28.19	0.95
1069.335938	-4.30	-28.33	0.95
1072.265625	-4.35	-28.43	0.97
1075.195313	-4.40	-28.45	0.92
1078.125000	-4.44	-28.47	0.97
1081.054688	-4.47	-28.53	0.98
1083.984375	-4.49	-28.66	0.98
1086.914063	-4.50	-28.89	0.98
1089.843750	-4.50	-29.20	0.98
1092.773438	-4.49	-29.58	0.98
1095.703125	-4.49	-30.02	0.97
1098.632813	-4.50	-30.49	0.97
1101.562500	-4.52	-30.95	0.99
1104.492188	-4.55	-31.36	0.98
1107.421875	-4.58	-31.70	0.96
1110.351563	-4.61	-31.92	0.95
1113.281250	-4.65	-32.03	0.97
1116.210938	-4.68	-32.09	0.97
1119.140625	-4.70	-32.17	0.98
1122.070313	-4.72	-32.30	0.97
1125.000000	-4.74	-32.46	0.93
1127.929688	-4.75	-32.59	0.97
1130.859375	-4.75	-32.72	0.97
1133.789063	-4.76	-32.85	0.98
1136.718750	-4.77	-32.99	0.97
1139.648438	-4.77	-33.12	0.99
1142.578125	-4.77	-33.23	0.99
1145.507813	-4.77	-33.36	0.97
1148.437500	-4.77	-33.52	0.98
1151.367188	-4.76	-33.66	0.97
1154.296875	-4.76	-33.80	0.98
1157.226563	-4.74	-33.92	0.98
1160.156250	-4.72	-34.04	0.98
1163.085938	-4.70	-34.19	0.97
1166.015625	-4.67	-34.39	0.99
1168.945313	-4.64	-34.60	0.98
1171.875000	-4.61	-34.85	0.99
1174.804688	-4.58	-35.13	0.99
1177.734375	-4.55	-35.40	0.99
1180.664063	-4.52	-35.64	0.99
1183.593750	-4.49	-35.87	0.99
1186.523438	-4.46	-36.10	0.99
1189.453125	-4.42	-36.37	0.99
1192.382813	-4.39	-36.65	0.99
1195.312500	-4.37	-36.94	0.98
1198.242188	-4.34	-37.26	0.99
1201.171875	-4.32	-37.61	0.98
1204.101563	-4.30	-38.03	0.98
1207.031250	-4.29	-38.50	0.96
1209.960938	-4.29	-38.97	0.95
1212.890625	-4.29	-39.44	0.95
1215.820313	-4.29	-39.90	0.97
1218.750000	-4.29	-40.35	0.98
1221.679688	-4.29	-40.79	0.99
1224.609375	-4.29	-41.23	1.00
1227.539063	-4.28	-41.72	1.00
1230.468750	-4.28	-42.25	0.99
1233.398438	-4.28	-42.80	0.99
1236.328125	-4.30	-43.33	0.99
1239.257813	-4.33	-43.82	0.99
1242.187500	-4.36	-44.25	1.00
1245.117188	-4.39	-44.61	1.00
1248.046875	-4.42	-44.91	0.99
1250.976563	-4.45	-45.20	0.99
1253.906250	-4.48	-45.45	0.99
1256.835938	-4.52	-45.68	0.99
1259.765625	-4.55	-45.91	1.00
1262.695313	-4.58	-46.17	0.99
1265.625000	-4.61	-46.46	0.99
1268.554688	-4.65	-46.79	0.99
1271.484375	-4.70	-47.13	0.99
1274.414063	-4.75	-47.49	0.99
1277.343750	-4.81	-47.81	1.00
1280.273438	-4.87	-48.07	0.99
1283.203125	-4.93	-48.28	0.99
1286.132813	-4.99	-48.43	0.99
1289.062500	-5.04	-48.57	0.99
