	SM57_TF_0_0		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1391.601563	-0.89	-14.13	0.98
1394.531250	-0.88	-14.14	0.98
1397.460938	-0.88	-14.16	0.98
1400.390625	-0.87	-14.21	0.99
1403.320313	-0.86	-14.30	0.99
1406.250000	-0.86	-14.37	1.00
1409.179688	-0.85	-14.42	1.00
1412.109375	-0.84	-14.47	1.00
1415.039063	-0.84	-14.52	1.00
1417.968750	-0.83	-14.59	1.00
1420.898438	-0.82	-14.69	0.99
1423.828125	-0.81	-14.82	0.99
1426.757813	-0.81	-14.99	0.99
1429.687500	-0.80	-15.15	0.99
1432.617188	-0.80	-15.33	0.99
1435.546875	-0.79	-15.53	0.99
1438.476563	-0.79	-15.72	0.99
1441.406250	-0.79	-15.92	1.00
1444.335938	-0.79	-16.10	1.00
1447.265625	-0.79	-16.26	1.00
1450.195313	-0.79	-16.40	1.00
1453.125000	-0.79	-16.52	0.99
1456.054688	-0.79	-16.68	0.99
1458.984375	-0.79	-16.85	0.99
1461.914063	-0.79	-17.03	0.99
1464.843750	-0.79	-17.22	0.99
1467.773438	-0.79	-17.42	0.99
1470.703125	-0.79	-17.61	0.99
1473.632813	-0.80	-17.82	0.98
1476.562500	-0.80	-18.05	0.94
1479.492188	-0.80	-18.31	0.95
1482.421875	-0.81	-18.54	0.99
1485.351563	-0.81	-18.74	1.00
1488.281250	-0.82	-18.93	1.00
1491.210938	-0.82	-19.11	0.99
1494.140625	-0.83	-19.25	0.99
1497.070313	-0.84	-19.36	1.00
1500.000000	-0.85	-19.42	1.00
1502.929688	-0.85	-19.47	1.00
1505.859375	-0.86	-19.51	1.00
1508.789063	-0.86	-19.55	1.00
1511.718750	-0.87	-19.56	1.00
1514.648438	-0.87	-19.55	1.00
1517.578125	-0.88	-19.52	1.00
1520.507813	-0.88	-19.50	1.00
1523.437500	-0.89	-19.48	1.00
1526.367188	-0.89	-19.46	1.00
1529.296875	-0.89	-19.46	1.00
1532.226563	-0.90	-19.48	1.00
1535.156250	-0.90	-19.52	1.00
1538.085938	-0.91	-19.58	0.99
1541.015625	-0.91	-19.66	0.99
1543.945313	-0.92	-19.73	0.99
1546.875000	-0.93	-19.77	0.99
1549.804688	-0.93	-19.78	1.00
1552.734375	-0.94	-19.77	1.00
1555.664063	-0.95	-19.77	1.00
1558.593750	-0.95	-19.79	1.00
1561.523438	-0.96	-19.81	1.00
1564.453125	-0.96	-19.84	0.99
1567.382813	-0.97	-19.88	0.99
1570.312500	-0.97	-19.90	0.99
1573.242188	-0.98	-19.91	0.99
1576.171875	-0.99	-19.92	0.99
1579.101563	-0.99	-19.92	0.98
1582.031250	-1.00	-19.96	0.94
1584.960938	-1.01	-20.02	0.97
1587.890625	-1.01	-20.03	0.96
1590.820313	-1.01	-20.00	0.94
1593.750000	-1.01	-19.94	0.96
1596.679688	-1.00	-19.85	0.97
1599.609375	-1.00	-19.77	0.99
1602.539063	-0.99	-19.72	0.99
1605.468750	-0.98	-19.73	1.00
1608.398438	-0.97	-19.78	1.00
1611.328125	-0.96	-19.86	0.99
1614.257813	-0.95	-19.93	0.99
1617.187500	-0.94	-20.02	0.99
1620.117188	-0.93	-20.12	0.99
1623.046875	-0.92	-20.25	0.99
1625.976563	-0.91	-20.39	1.00
1628.906250	-0.90	-20.55	1.00
1631.835938	-0.89	-20.74	0.99
1634.765625	-0.89	-20.93	1.00
1637.695313	-0.88	-21.12	0.99
1640.625000	-0.87	-21.30	1.00
1643.554688	-0.87	-21.48	1.00
1646.484375	-0.87	-21.66	0.99
1649.414063	-0.86	-21.83	0.99
1652.343750	-0.86	-21.97	1.00
1655.273438	-0.86	-22.09	1.00
1658.203125	-0.86	-22.22	1.00
1661.132813	-0.85	-22.36	1.00
1664.062500	-0.85	-22.50	1.00
1666.992188	-0.85	-22.63	1.00
1669.921875	-0.85	-22.77	0.99
1672.851563	-0.85	-22.90	1.00
1675.781250	-0.85	-23.04	0.99
1678.710938	-0.85	-23.16	0.99
1681.640625	-0.86	-23.26	1.00
1684.570313	-0.86	-23.34	1.00
1687.500000	-0.86	-23.40	1.00
1690.429688	-0.86	-23.45	1.00
1693.359375	-0.86	-23.49	1.00
1696.289063	-0.86	-23.55	1.00
1699.218750	-0.86	-23.64	1.00
1702.148438	-0.86	-23.76	0.99
1705.078125	-0.86	-23.89	1.00
1708.007813	-0.86	-24.06	1.00
1710.937500	-0.86	-24.26	0.99
1713.867188	-0.87	-24.49	0.99
1716.796875	-0.87	-24.68	0.99
1719.726563	-0.88	-24.88	1.00
1722.656250	-0.88	-25.07	1.00
1725.585938	-0.89	-25.25	1.00
