	SM57_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1209.960938	-27.96	1.32	1.00
1212.890625	-27.96	1.38	1.00
1215.820313	-27.97	1.45	1.00
1218.750000	-27.97	1.53	1.00
1221.679688	-27.98	1.64	1.00
1224.609375	-27.99	1.76	1.00
1227.539063	-27.99	1.91	1.00
1230.468750	-28.00	2.09	1.00
1233.398438	-28.00	2.27	1.00
1236.328125	-28.00	2.46	1.00
1239.257813	-27.99	2.65	1.00
1242.187500	-27.98	2.85	1.00
1245.117188	-27.97	3.05	1.00
1248.046875	-27.96	3.24	1.00
1250.976563	-27.94	3.43	1.00
1253.906250	-27.92	3.61	1.00
1256.835938	-27.89	3.79	1.00
1259.765625	-27.87	3.95	1.00
1262.695313	-27.84	4.10	1.00
1265.625000	-27.80	4.23	1.00
1268.554688	-27.77	4.34	1.00
1271.484375	-27.73	4.43	1.00
1274.414063	-27.70	4.49	1.00
1277.343750	-27.66	4.52	1.00
1280.273438	-27.63	4.54	1.00
1283.203125	-27.59	4.52	1.00
1286.132813	-27.55	4.48	1.00
1289.062500	-27.52	4.42	1.00
1291.992188	-27.49	4.34	1.00
1294.921875	-27.46	4.25	1.00
1297.851563	-27.43	4.15	1.00
1300.781250	-27.40	4.05	1.00
1303.710938	-27.37	3.95	1.00
1306.640625	-27.35	3.83	1.00
1309.570313	-27.32	3.70	1.00
1312.500000	-27.30	3.55	1.00
1315.429688	-27.28	3.38	1.00
1318.359375	-27.26	3.19	1.00
1321.289063	-27.24	3.00	1.00
1324.218750	-27.23	2.79	1.00
1327.148438	-27.23	2.58	1.00
1330.078125	-27.23	2.38	1.00
1333.007813	-27.23	2.19	1.00
1335.937500	-27.23	2.02	1.00
1338.867188	-27.24	1.86	1.00
1341.796875	-27.25	1.72	1.00
1344.726563	-27.27	1.61	1.00
1347.656250	-27.28	1.51	1.00
1350.585938	-27.29	1.44	1.00
1353.515625	-27.31	1.39	1.00
1356.445313	-27.32	1.35	1.00
1359.375000	-27.34	1.34	1.00
1362.304688	-27.35	1.34	1.00
1365.234375	-27.36	1.37	1.00
1368.164063	-27.37	1.41	1.00
1371.093750	-27.38	1.46	1.00
1374.023438	-27.38	1.52	1.00
1376.953125	-27.38	1.59	1.00
1379.882813	-27.39	1.66	1.00
1382.812500	-27.38	1.74	1.00
1385.742188	-27.38	1.82	1.00
