	ECM8000_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1136.718750	-6.84	-1.05	1.00
1139.648438	-6.84	-1.11	1.00
1142.578125	-6.84	-1.17	1.00
1145.507813	-6.84	-1.21	1.00
1148.437500	-6.85	-1.24	1.00
1151.367188	-6.85	-1.26	1.00
1154.296875	-6.86	-1.26	1.00
1157.226563	-6.86	-1.26	1.00
1160.156250	-6.86	-1.25	1.00
1163.085938	-6.86	-1.24	1.00
1166.015625	-6.86	-1.22	1.00
1168.945313	-6.86	-1.22	1.00
1171.875000	-6.85	-1.21	1.00
1174.804688	-6.84	-1.23	1.00
1177.734375	-6.84	-1.26	1.00
1180.664063	-6.83	-1.32	1.00
1183.593750	-6.82	-1.38	1.00
1186.523438	-6.82	-1.46	1.00
1189.453125	-6.82	-1.55	1.00
1192.382813	-6.82	-1.63	1.00
1195.312500	-6.82	-1.71	1.00
1198.242188	-6.82	-1.79	1.00
1201.171875	-6.82	-1.86	1.00
1204.101563	-6.83	-1.94	1.00
1207.031250	-6.83	-2.01	1.00
1209.960938	-6.83	-2.08	1.00
1212.890625	-6.83	-2.16	1.00
1215.820313	-6.84	-2.25	1.00
1218.750000	-6.84	-2.35	1.00
1221.679688	-6.85	-2.45	1.00
1224.609375	-6.86	-2.55	1.00
1227.539063	-6.88	-2.64	1.00
1230.468750	-6.89	-2.73	1.00
1233.398438	-6.91	-2.80	1.00
1236.328125	-6.93	-2.84	1.00
1239.257813	-6.95	-2.87	1.00
1242.187500	-6.97	-2.86	1.00
1245.117188	-6.99	-2.83	1.00
1248.046875	-7.01	-2.79	1.00
1250.976563	-7.02	-2.74	1.00
1253.906250	-7.03	-2.70	1.00
1256.835938	-7.04	-2.65	1.00
1259.765625	-7.04	-2.62	1.00
1262.695313	-7.04	-2.59	1.00
1265.625000	-7.05	-2.58	1.00
1268.554688	-7.05	-2.58	1.00
1271.484375	-7.06	-2.60	1.00
1274.414063	-7.06	-2.62	1.00
1277.343750	-7.07	-2.65	1.00
1280.273438	-7.08	-2.68	1.00
1283.203125	-7.10	-2.71	1.00
1286.132813	-7.11	-2.73	1.00
1289.062500	-7.13	-2.74	1.00
1291.992188	-7.15	-2.73	1.00
1294.921875	-7.17	-2.70	1.00
1297.851563	-7.20	-2.64	1.00
1300.781250	-7.22	-2.56	1.00
1303.710938	-7.24	-2.45	1.00
1306.640625	-7.26	-2.32	1.00
1309.570313	-7.28	-2.16	1.00
1312.500000	-7.30	-1.97	1.00
1315.429688	-7.31	-1.77	1.00
1318.359375	-7.32	-1.55	1.00
1321.289063	-7.33	-1.32	1.00
1324.218750	-7.33	-1.08	1.00
1327.148438	-7.32	-0.84	1.00
1330.078125	-7.31	-0.60	1.00
1333.007813	-7.29	-0.38	1.00
1335.937500	-7.28	-0.18	1.00
1338.867188	-7.26	0.00	1.00
1341.796875	-7.23	0.16	1.00
1344.726563	-7.21	0.29	1.00
1347.656250	-7.18	0.39	1.00
1350.585938	-7.16	0.48	1.00
1353.515625	-7.13	0.54	1.00
1356.445313	-7.10	0.59	1.00
1359.375000	-7.07	0.63	1.00
1362.304688	-7.05	0.66	1.00
1365.234375	-7.02	0.67	1.00
1368.164063	-6.99	0.66	1.00
1371.093750	-6.97	0.64	1.00
1374.023438	-6.94	0.61	1.00
1376.953125	-6.92	0.56	1.00
1379.882813	-6.89	0.51	1.00
1382.812500	-6.87	0.44	1.00
1385.742188	-6.85	0.36	1.00
1388.671875	-6.83	0.27	1.00
1391.601563	-6.81	0.17	1.00
1394.531250	-6.79	0.05	1.00
1397.460938	-6.77	-0.07	1.00
1400.390625	-6.75	-0.21	1.00
1403.320313	-6.74	-0.36	1.00
1406.250000	-6.72	-0.52	1.00
1409.179688	-6.71	-0.69	1.00
1412.109375	-6.71	-0.86	1.00
1415.039063	-6.70	-1.04	1.00
1417.968750	-6.70	-1.23	1.00
1420.898438	-6.70	-1.42	1.00
1423.828125	-6.70	-1.61	1.00
1426.757813	-6.71	-1.79	1.00
1429.687500	-6.72	-1.97	1.00
1432.617188	-6.73	-2.15	1.00
1435.546875	-6.74	-2.33	1.00
1438.476563	-6.76	-2.49	1.00
1441.406250	-6.78	-2.62	1.00
1444.335938	-6.81	-2.73	1.00
1447.265625	-6.83	-2.81	1.00
1450.195313	-6.85	-2.86	1.00
1453.125000	-6.88	-2.88	1.00
1456.054688	-6.90	-2.88	1.00
1458.984375	-6.92	-2.87	1.00
1461.914063	-6.94	-2.85	1.00
1464.843750	-6.95	-2.83	1.00
1467.773438	-6.96	-2.82	1.00
1470.703125	-6.97	-2.81	1.00
1473.632813	-6.98	-2.82	1.00
1476.562500	-6.99	-2.83	1.00
1479.492188	-7.01	-2.86	1.00
1482.421875	-7.02	-2.88	1.00
1485.351563	-7.04	-2.91	1.00
1488.281250	-7.05	-2.92	1.00
1491.210938	-7.07	-2.92	1.00
1494.140625	-7.09	-2.91	1.00
1497.070313	-7.12	-2.88	1.00
1500.000000	-7.14	-2.82	1.00
1502.929688	-7.16	-2.74	1.00
1505.859375	-7.18	-2.63	1.00
1508.789063	-7.20	-2.50	1.00
